index,word,count,vec_len,cos_avg
2251,july,1033920,0.9464151,0.3293658
2061,so,1033149,0.9682222,0.1522533
2225,west,1031876,0.9877412,0.21367066
2224,use,1029104,1.0433695,0.251953
2257,august,1017644,0.9664708,0.29901794
2085,now,1017350,0.97698706,0.1400881
2267,college,1011907,0.99598455,0.25467747
2198,john,1011147,0.8759692,0.30390382
2276,station,1009305,1.0254658,0.24274893
2313,population,1001296,1.0575719,0.29823488
2258,april,997324,0.9772132,0.3016974
2270,public,995710,1.051165,0.22278082
2188,home,990036,1.0720508,0.16866983
2203,end,984602,1.0823151,0.20122987
2281,november,983721,0.97606623,0.32497373
2266,member,977855,1.044923,0.27426022
2173,place,975489,1.0817075,0.18909004
2236,general,975004,1.0999053,0.20260838
2237,town,974142,0.9822763,0.23565507
2280,former,969319,0.98356175,0.24466401
2285,december,969189,0.99391085,0.32261336
2277,church,960058,0.989807,0.25192574
2065,if,956416,0.97115743,0.19451739
2287,age,946688,1.2426399,0.23261248
2218,held,945123,1.0433097,0.26603132
2315,named,938639,1.039634,0.25537467
2291,system,937147,0.9870733,0.24473256
2138,because,936376,0.9356025,0.22205552
2259,york,930695,1.0783725,0.28637522
2165,took,926772,1.0181472,0.30058765
2154,day,918757,1.0449642,0.16718474
2314,river,917879,0.9935877,0.24605882
2105,around,916691,0.9624667,0.1922416
2374,football,909790,1.010792,0.2824004
2329,british,908983,0.95753086,0.29441333
2240,line,907354,1.073758,0.18472072
2264,east,904121,0.96245605,0.24510613
2334,local,903455,0.975381,0.2546798
2151,any,902313,0.9871591,0.21669473
2299,song,889103,0.9898244,0.2611578
2349,due,881083,1.1785403,0.25747117
2247,along,876966,0.987764,0.23232004
2326,service,875907,1.0723073,0.22353862
2283,party,875473,1.0579194,0.22626108
2190,best,873960,1.0998466,0.19179983
2337,february,873023,0.97958535,0.33763954
2366,served,872119,1.1014351,0.3035725
2106,did,871968,0.99582654,0.21967839
2067,back,871176,1.0131705,0.1508895
2178,another,867621,1.0007117,0.1800441
2241,based,864836,1.0276182,0.25827685
2071,could,863489,0.9640888,0.23632596
2306,within,861974,0.9985491,0.23883791
2363,received,861871,1.0036298,0.31801835
2301,century,858230,1.1773664,0.2919908
2352,village,856782,0.95338917,0.27727798
2328,built,853049,0.9972909,0.30208632
2066,like,840788,0.99265605,0.16039614
2372,members,835484,0.9949918,0.31132308
2311,building,834565,1.0018791,0.24925874
2350,major,833377,1.0041724,0.21860385
2345,final,829801,1.0128757,0.2659112
2265,show,825420,1.0363846,0.2044059
2399,games,813653,1.0111017,0.2805577
2348,although,810379,0.91022784,0.27099
2421,include,809414,0.96875304,0.31080973
2427,species,808881,1.0738019,0.31011015
2331,death,808392,1.0623643,0.25275776
2316,band,798347,1.0433086,0.22622275
2235,small,793974,0.9368631,0.24158682
2364,main,790795,1.0082817,0.23583342
2187,left,789768,1.093268,0.17539777
2343,president,788031,1.003822,0.29891476
2056,said,773875,0.9125878,0.25449663
2405,published,773741,1.0136588,0.3403734
2351,died,773046,1.1114166,0.30401164
2312,large,767345,0.9340826,0.26970592
2197,last,763329,1.042254,0.18723352
2274,five,761374,0.8874535,0.24807942
2344,order,760885,1.1938387,0.20832059
2358,st,760773,1.110579,0.27390158
2309,single,760122,1.0296625,0.23985669
2275,set,759400,1.1443983,0.16630314
2353,third,759173,0.95379204,0.25579366
2219,own,758354,1.1103022,0.24070077
2216,those,757264,0.98123294,0.23485662
2495,education,754944,0.9965806,0.31640244
2429,according,750166,1.1833402,0.30606055
2443,included,744210,0.9859895,0.29269758
2146,long,739196,1.059641,0.18475048
2200,very,737468,0.95482683,0.24392198
2380,park,735400,1.027436,0.22294287
2145,still,731854,1.0130734,0.1721809
2346,road,725514,1.0169147,0.23324378
2390,army,720071,1.0012792,0.2800132
2407,division,718264,1.0530529,0.25106233
2338,book,717491,1.0149796,0.23673537
2458,development,716728,1.010871,0.28592375
2426,among,706155,1.1250931,0.27660492
2375,law,700770,1.0944456,0.23627159
2411,often,697514,0.9667357,0.2916858
2413,french,683567,0.9649413,0.26870695
2333,moved,683252,0.97980326,0.32694265
2335,times,683182,1.1057451,0.22141947
2054,what,678958,0.99999243,0.18394709
2451,community,678354,1.0083735,0.26597005
2430,central,677020,1.0528418,0.24962045
2419,led,675373,1.0700024,0.27638265
2394,english,672414,1.025998,0.25308672
2434,original,670680,1.0184274,0.26056433
2214,old,669189,1.030977,0.21430564
2365,son,666951,1.0165931,0.26588574
2336,children,666686,0.99092394,0.2714148
2454,million,664235,1.1896404,0.30033338
2367,different,663831,1.008837,0.2577883
2379,near,663277,1.0092435,0.20860319
2074,just,661699,0.97142875,0.15819085
2327,top,660597,1.0831645,0.2002225
2397,late,659686,1.1120778,0.22559881
2153,again,659103,0.9466924,0.19080044
2300,water,658084,1.012517,0.21951978
2250,air,657883,1.1245418,0.2004184
2307,great,654776,1.0217999,0.23675942
2415,center,653137,1.0478582,0.22478628
2433,form,652644,1.0988561,0.20957118
2172,much,652073,1.0233836,0.20294039
2470,research,649326,0.98774755,0.28451198
2217,side,649100,1.082381,0.1988637
2149,us,647523,1.0172889,0.17667815
2396,art,646017,1.0622215,0.22408621
2457,court,643683,1.1244557,0.22589695
2377,play,642564,1.1134185,0.21628122
2091,down,641374,0.99786466,0.17003706
2406,country,638128,1.0639426,0.22754389
2125,off,636726,1.0560666,0.17032614
2130,even,634076,1.0383761,0.158969
2473,council,631940,1.0277562,0.26131886
2446,german,626448,0.9655501,0.2993735
2395,street,625041,1.0228035,0.24425
2501,record,624286,1.148172,0.23798765
2373,power,623806,1.0961661,0.19501656
2511,established,622004,0.9834876,0.3195438
2462,ii,617293,0.98965436,0.267815
2414,london,617139,0.98488474,0.30750674
2455,land,614818,1.1130197,0.20707412
2452,cup,613175,1.0648888,0.2680361
2383,having,609515,1.0291749,0.27293622
2516,title,607907,1.0751305,0.25034449
2318,started,607720,0.9717006,0.28308937
2490,support,607229,1.0589192,0.25997525
2576,political,606786,0.98396873,0.33640808
2493,students,606010,0.9730198,0.3478269
2400,award,605415,1.0537944,0.2954219
2510,military,603436,0.9833908,0.28941718
2558,period,602059,1.0261122,0.25359073
2234,came,601998,1.0032749,0.290608
2253,went,599551,0.98323834,0.30347636
2537,production,599042,1.0183661,0.27197498
2317,white,597084,1.0049907,0.2284784
2126,way,596774,1.1188956,0.17385234
2445,given,592782,1.0952262,0.23527655
2479,island,591069,1.037095,0.26426712
2191,make,589898,1.0022947,0.25917193
2279,next,589538,1.0763646,0.20137729
2535,role,589049,1.0634187,0.27590877
2547,television,587594,1.011843,0.28989413
2332,king,587549,1.0037414,0.23813485
2555,region,586141,0.99505055,0.29015186
2573,works,584313,1.0698298,0.25481853
2561,total,582959,1.0688545,0.2612872
2528,championship,582572,1.0202776,0.3316606
2478,using,581159,0.96556574,0.30880538
2536,various,580701,0.9055432,0.31087968
2132,head,580494,1.0725679,0.18350321
2436,office,577850,1.0482777,0.2645475
2416,six,577381,0.8896598,0.2690563
2079,do,576017,1.0109028,0.22022699
2447,player,574791,1.0341977,0.29970795
2468,become,572442,1.0258832,0.3062015
2269,father,569807,0.96143055,0.2783742
2862,list,569359,1.1464872,0.25048023
2449,business,568900,1.0759413,0.22425123
2530,western,565669,1.0032657,0.27843443
2550,produced,557630,0.97466725,0.32620344
2472,director,555882,0.9984318,0.31621608
2496,married,555520,1.1338111,0.31307256
2565,program,554602,0.9903643,0.25877208
2523,association,553871,1.027147,0.2753196
2563,england,552989,1.0400985,0.33113933
2492,field,550486,1.115776,0.20818835
2499,worked,550405,0.9993123,0.32446712
2602,election,548583,1.1106101,0.31776094
2304,black,547728,1.0029144,0.20825934
2533,department,543493,1.0909886,0.2805621
2587,joined,543255,1.0654091,0.3243379
2623,announced,542698,1.0445561,0.35674873
2580,created,542444,0.9541339,0.3308555
2391,point,540451,1.1237196,0.19268726
2513,returned,535797,1.0217392,0.31207326
2658,professional,533627,0.9992396,0.29321754
2586,union,533581,1.132592,0.23830657
2517,written,532778,1.0847147,0.3024917
2261,few,530307,1.1208626,0.2670363
2017,you,529507,0.88993865,0.18140118
2402,young,528547,1.0119109,0.22894278
2302,without,527983,1.0817593,0.2341247
2202,take,527788,1.0090199,0.26208985
2649,described,526751,1.0294982,0.34707627
2609,site,523890,1.0064466,0.27065882
2548,royal,522446,1.1109891,0.27325106
2578,services,520794,1.0504136,0.30918962
2557,radio,519563,1.0746073,0.24370922
2362,together,518461,1.0506655,0.23363458
2591,social,516783,1.0401906,0.29752392
2486,force,514327,1.1167865,0.2321689
2642,northern,513266,0.9848137,0.33060825
2566,per,511993,1.1741587,0.28214604
2631,founded,511812,1.0123228,0.3557016
2552,act,510473,1.1529043,0.23114768
2295,though,510166,0.97595716,0.22040641
2554,society,509650,1.0405579,0.25462896
2626,wrote,507437,1.0591241,0.3382937
2582,further,507355,1.0838144,0.23678458
2308,women,507038,0.9998158,0.25520122
2420,days,507028,1.0520241,0.27790737
2439,lost,504507,1.1060809,0.241871
2506,continued,501203,1.0170963,0.31238574
2640,design,500480,1.0203372,0.28214765
2520,william,498493,0.87656987,0.36067432
2296,every,498350,1.0842736,0.2434411
2544,version,497458,1.0301853,0.2914133
2622,project,496466,1.0061927,0.24349497
2621,summer,495211,1.0635995,0.24753639
